Athlete,Country,Gold,Silver,Bronze,Total,year
Carlo Pavesi,Italy,4,0,0,4,1896 - 2016
Niccolò Campriani,Italy,3,1,0,4,1896 - 2016
Betty Cuthbert,Australia,4,0,0,4,1896 - 2016
Paul Elvstrøm,Denmark,4,0,0,4,1896 - 2016
Paul Radmilovic,Great Britain,4,0,0,4,1896 - 2016
Pat McCormick,United States,4,0,0,4,1896 - 2016
Anthony Ervin,United States,3,1,0,4,1896 - 2016
Park Seong-Hyeon,Republic of Korea,3,1,0,4,1896 - 2016
Katinka Hosszú,Hungary,3,1,0,4,1896 - 2016
Jeremy Wariner,United States,3,1,0,4,1896 - 2016
Kenenisa Bekele,Ethiopia,3,1,0,4,1896 - 2016
Saori Yoshida,Japan,3,1,0,4,1896 - 2016
Chen Yibing,People's Republic of China,3,1,0,4,1896 - 2016
Viktor Krovopuskov,Russian Federation,4,0,0,4,1896 - 2016
Gabriella Szabó,Hungary,3,1,0,4,1896 - 2016
Ranomi Kromowidjojo,Netherlands,3,1,0,4,1896 - 2016
Zhang Jike,People's Republic of China,3,1,0,4,1896 - 2016
Michael Jung,Germany,3,1,0,4,1896 - 2016
Matthew Pinsent,Great Britain,4,0,0,4,1896 - 2016
Tamás Darnyi,Hungary,4,0,0,4,1896 - 2016
Vladimir Salnikov,Russian Federation,4,0,0,4,1896 - 2016
Li Xiaoxia,People's Republic of China,3,1,0,4,1896 - 2016
He Yun,People's Republic of China,3,1,0,4,1896 - 2016
Kristóf Milák,Hungary,3,1,0,4,1896 - 2016
He Jianbin,People's Republic of China,3,1,0,4,1896 - 2016
Ding Ning,People's Republic of China,3,1,0,4,1896 - 2016
Charlie Hickcox,United States,3,1,0,4,1896 - 2016
Vasily Kudinov,Russian Federation,2,0,1,3,1896 - 2016
Larisa Karlova,Soviet Union,2,0,1,3,1896 - 2016
Zinaida Turchina,Soviet Union,2,0,1,3,1896 - 2016
Venio Losert,Croatia,2,0,1,3,1896 - 2016
Miroslav Cerar,Slovenia,2,0,1,3,1896 - 2016
Rustam Sharipov,Ukraine,2,0,1,3,1896 - 2016
Axel Norling,Sweden,2,0,1,3,1896 - 2016
Tisandros,Naxos,3,0,0,3,1896 - 2016
Aleksandr Tuchkin,Russian Federation,2,0,1,3,1896 - 2016
Silke Hörner,East Germany,2,0,1,3,1896 - 2016
Penny Heyns,South Africa,2,0,1,3,1896 - 2016
Jane Barkman,United States,2,0,1,3,1896 - 2016
Kaye Hall,United States,2,0,1,3,1896 - 2016
Doug Gjertsen,United States,2,0,1,3,1896 - 2016
Joe Hudepohl,United States,2,0,1,3,1896 - 2016
Sammy Lee,United States,2,0,1,3,1896 - 2016
Mel Stewart,United States,2,0,1,3,1896 - 2016
Ana Ivis Fernández,Cuba,2,0,1,3,1896 - 2016
Yumilka Ruiz,Cuba,2,0,1,3,1896 - 2016
Yury Poyarkov,Soviet Union,2,0,1,3,1896 - 2016
Steve Timmons,United States,2,0,1,3,1896 - 2016
Ottó Boros,Hungary,2,0,1,3,1896 - 2016
Tivadar Kanizsa,Hungary,2,0,1,3,1896 - 2016
Kálmán Markovits,Hungary,2,0,1,3,1896 - 2016
Arkady Vorobyov,Russian Federation,2,0,1,3,1896 - 2016
Katrin Meißner,East Germany,2,0,1,3,1896 - 2016
Renata Mauer-Różańska,Poland,2,0,1,3,1896 - 2016
David Douillet,France,2,0,1,3,1896 - 2016
Tanyu Kiryakov,Bulgaria,2,0,1,3,1896 - 2016
János Martinek,Hungary,2,0,1,3,1896 - 2016
Ferenc Török,Hungary,2,0,1,3,1896 - 2016
Andy Holmes,Great Britain,2,0,1,3,1896 - 2016
Bernd Landvoigt,East Germany,2,0,1,3,1896 - 2016
Jörg Landvoigt,East Germany,2,0,1,3,1896 - 2016
Manuela Lutze,Germany,2,0,1,3,1896 - 2016
Katrin Rutschow-Stomporowski,Germany,2,0,1,3,1896 - 2016
Andreas Hajek,Germany,2,0,1,3,1896 - 2016
Thomas Lange,East Germany,2,0,1,3,1896 - 2016
Stephan Volkert,Germany,2,0,1,3,1896 - 2016
André Willms,Germany,2,0,1,3,1896 - 2016
Nico Rienks,Netherlands,2,0,1,3,1896 - 2016
Mario Lertora,Italy,2,0,1,3,1896 - 2016
Simon Dickie,New Zealand,2,0,1,3,1896 - 2016
Hans Walter,Switzerland,2,0,1,3,1896 - 2016
Oswald Holmberg,Sweden,2,0,1,3,1896 - 2016
Angelo Mazzoni,Italy,2,0,1,3,1896 - 2016
Zoltán Magyar,Hungary,2,0,1,3,1896 - 2016
Klaus Balkenhol,Germany,2,0,1,3,1896 - 2016
Leon Rotman,Romania,2,0,1,3,1896 - 2016
Nikolay Bukhalov,Bulgaria,2,0,1,3,1896 - 2016
Boris Lagutin,Russian Federation,2,0,1,3,1896 - 2016
Oleg Saitov,Russian Federation,2,0,1,3,1896 - 2016
David Robinson,United States,2,0,1,3,1896 - 2016
Katrina McClain,United States,2,0,1,3,1896 - 2016
Mary Joe Fernandez,United States,2,0,1,3,1896 - 2016
Charles Winslow,South Africa,2,0,1,3,1896 - 2016
Suzanne Lenglen,France,2,0,1,3,1896 - 2016
Phil Bryant,United States,2,0,1,3,1896 - 2016
Kim Dong-Mun,Republic of Korea,2,0,1,3,1896 - 2016
Teddy Flack,Australia,2,0,1,3,1896 - 2016
Joseph Hermans,Belgium,2,0,1,3,1896 - 2016
Firmin Flamand,Belgium,2,0,1,3,1896 - 2016
Laurie Doherty,Great Britain,2,0,1,3,1896 - 2016
Edmond Cloetens,Belgium,3,0,0,3,1896 - 2016
Wu Shengping,People's Republic of China,2,1,0,3,1896 - 2016
Andrey Ushakov,Russian Federation,2,1,0,3,1896 - 2016
Sun Bowei,People's Republic of China,2,1,0,3,1896 - 2016
Antonina Seredina,Russian Federation,2,0,1,3,1896 - 2016
Phillip Dutton,Australia,2,0,1,3,1896 - 2016
Aleksanteri Saarvala,Finland,2,0,1,3,1896 - 2016
Xavier Lesage,France,2,0,1,3,1896 - 2016
Larisa Petrik,Belarus,2,0,1,3,1896 - 2016
Tatyana Lysenko,Ukraine,2,0,1,3,1896 - 2016
Lidiya Kalinina-Ivanova,Russian Federation,2,0,1,3,1896 - 2016
Mariya Filatova,Russian Federation,2,0,1,3,1896 - 2016
Simona Păuca,Romania,2,0,1,3,1896 - 2016
Dezső Novák,Hungary,2,0,1,3,1896 - 2016
Umyar Mavlikhanov,Russian Federation,2,0,1,3,1896 - 2016
Jesper Bank,Denmark,2,0,1,3,1896 - 2016
Stefano Cerioni,Italy,2,0,1,3,1896 - 2016
Péter Tóth,Hungary,2,0,1,3,1896 - 2016
Karina Aznavuryan,Russian Federation,2,0,1,3,1896 - 2016
Pascale Trinquet-Hachin,France,2,0,1,3,1896 - 2016
Ronald Jansen,Netherlands,2,0,1,3,1896 - 2016
Jacques Brinkman,Netherlands,2,0,1,3,1896 - 2016
Guido Fulst,Germany,2,0,1,3,1896 - 2016
Hans von Rosen,Sweden,2,0,1,3,1896 - 2016
Franke Sloothaak,Germany,2,0,1,3,1896 - 2016
Heinz Pollay,Germany,2,0,1,3,1896 - 2016
Humberto Mariles,Mexico,2,0,1,3,1896 - 2016
Armen Nazaryan,Armenia,2,0,1,3,1896 - 2016
Conor Dwyer,United States,2,0,1,3,1896 - 2016
Marcelo Ferreira,Brazil,2,0,1,3,1896 - 2016
German Sveshnikov,Soviet Union,2,1,0,3,1896 - 2016
Aleksey Barkalov,Ukraine,2,1,0,3,1896 - 2016
Perica Bukić,Yugoslavia,2,1,0,3,1896 - 2016
Nina Smoleyeva,Soviet Union,2,1,0,3,1896 - 2016
Lyudmila Buldakova,Soviet Union,2,1,0,3,1896 - 2016
Denis Pankratov,Unified Team,2,1,0,3,1896 - 2016
Yury Tyukalov,Soviet Union,2,1,0,3,1896 - 2016
Anatoly Starostin,Soviet Union,2,1,0,3,1896 - 2016
Aleksandr Tkachov,Soviet Union,2,1,0,3,1896 - 2016
Julius Lenhart,United States,2,1,0,3,1896 - 2016
Yekaterina Kalinchuk,Soviet Union,2,1,0,3,1896 - 2016
Yelena Davydova,Russian Federation,2,1,0,3,1896 - 2016
Eduard Vinokurov,Soviet Union,2,1,0,3,1896 - 2016
Arnd Schmitt,West Germany,2,1,0,3,1896 - 2016
Boris Lagutin,Soviet Union,2,0,1,3,1896 - 2016
Elmar Borrmann,West Germany,2,1,0,3,1896 - 2016
Nicolae Juravschi,Romania,2,1,0,3,1896 - 2016
Aleksandr Shaparenko,Ukraine,2,1,0,3,1896 - 2016
Victor Reneischi,Soviet Union,2,1,0,3,1896 - 2016
Jan Brzák-Felix,Czechoslovakia,2,1,0,3,1896 - 2016
Tatyana Kazankina,Soviet Union,3,0,0,3,1896 - 2016
Aliaksandr Miadved,Soviet Union,3,0,0,3,1896 - 2016
Akakios Kakiasvili,Greece,3,0,0,3,1896 - 2016
Yevgeny Sadovy,Unified Team,3,0,0,3,1896 - 2016
Vyacheslav Ivanov,Soviet Union,3,0,0,3,1896 - 2016
Sergey Kharkov,Soviet Union,3,0,0,3,1896 - 2016
Viktor Zhdanovich,Soviet Union,3,0,0,3,1896 - 2016
Makharbek Khadartsev,Soviet Union,2,1,0,3,1896 - 2016
Antonina Seredina,Soviet Union,2,0,1,3,1896 - 2016
Randhir Singh Gentle,Uganda,3,0,0,3,1896 - 2016
Thomas Lange,Germany,2,0,1,3,1896 - 2016
Olga Nazarova,Unified Team,2,0,1,3,1896 - 2016
Makharbek Khadartsev,Unified Team,2,1,0,3,1896 - 2016
Anatoly Starostin,Unified Team,2,1,0,3,1896 - 2016
Yelena Davydova,Soviet Union,2,1,0,3,1896 - 2016
Nicolae Juravschi,Soviet Union,2,1,0,3,1896 - 2016
Akakios Kakiasvili,Unified Team,3,0,0,3,1896 - 2016
Nina Romashkova-Ponomaryova,Soviet Union,2,0,1,3,1896 - 2016
Olga Nazarova,Soviet Union,2,0,1,3,1896 - 2016
Armen Nazaryan,Bulgaria,2,0,1,3,1896 - 2016
Arkady Vorobyov,Soviet Union,2,0,1,3,1896 - 2016
Yury Poyarkov,Ukraine,2,0,1,3,1896 - 2016
Katrin Meißner,Germany,2,0,1,3,1896 - 2016
Aleksandr Tuchkin,Soviet Union,2,0,1,3,1896 - 2016
Phillip Dutton,United States,2,0,1,3,1896 - 2016
Zinaida Turchina,Ukraine,2,0,1,3,1896 - 2016
Larisa Karlova,Ukraine,2,0,1,3,1896 - 2016
Vasily Kudinov,Unified Team,2,0,1,3,1896 - 2016
Miroslav Cerar,Yugoslavia,2,0,1,3,1896 - 2016
Rustam Sharipov,Unified Team,2,0,1,3,1896 - 2016
Larisa Petrik,Soviet Union,2,0,1,3,1896 - 2016
Tatyana Lysenko,Unified Team,2,0,1,3,1896 - 2016
Lidiya Kalinina-Ivanova,Soviet Union,2,0,1,3,1896 - 2016
Mariya Filatova,Soviet Union,2,0,1,3,1896 - 2016
Umyar Mavlikhanov,Soviet Union,2,0,1,3,1896 - 2016
Franke Sloothaak,West Germany,2,0,1,3,1896 - 2016
Heinz Pollay,West Germany,2,0,1,3,1896 - 2016
Aleksandra Zabelina,Soviet Union,3,0,0,3,1896 - 2016
Vyacheslav Yekimov,Soviet Union,3,0,0,3,1896 - 2016
Derartu Tulu,Ethiopia,2,0,1,3,1896 - 2016
Thomas Ebert,Denmark,2,0,1,3,1896 - 2016
Barbora Špotáková,Czech Republic,2,0,1,3,1896 - 2016
Zou Shiming,People's Republic of China,2,0,1,3,1896 - 2016
Andrea Cassarà,Italy,2,0,1,3,1896 - 2016
Yuriy Cheban,Ukraine,2,0,1,3,1896 - 2016
DeeDee Trotter,United States,2,0,1,3,1896 - 2016
Mahé Drysdale,New Zealand,2,0,1,3,1896 - 2016
Alice Mills,Australia,2,0,1,3,1896 - 2016
Im Dong-Hyeon,Republic of Korea,2,0,1,3,1896 - 2016
Steven Lopez,United States,2,0,1,3,1896 - 2016
Hadi Saei,Islamic Republic of Iran,2,0,1,3,1896 - 2016
Oussama Mellouli,Tunisia,2,0,1,3,1896 - 2016
Britta Steffen,Germany,2,0,1,3,1896 - 2016
Matthias Witthaus,Germany,2,0,1,3,1896 - 2016
Hwang Gyeong-Seon,Republic of Korea,2,0,1,3,1896 - 2016
Tatyana Logunova,Russian Federation,2,0,1,3,1896 - 2016
Yelena Isinbayeva,Russian Federation,2,0,1,3,1896 - 2016
Bob Richards,United States,2,0,1,3,1896 - 2016
Edwin Moses,United States,2,0,1,3,1896 - 2016
Antonio McKay,United States,2,0,1,3,1896 - 2016
Nina Romashkova-Ponomaryova,Russian Federation,2,0,1,3,1896 - 2016
Olga Nazarova,Russian Federation,2,0,1,3,1896 - 2016
Virgilijus Alekna,Lithuania,2,0,1,3,1896 - 2016
Kelly Holmes,Great Britain,2,0,1,3,1896 - 2016
Micheline Ostermeyer,France,2,0,1,3,1896 - 2016
Heikki Liimatainen,Finland,2,0,1,3,1896 - 2016
Miruts Yifter,Ethiopia,2,0,1,3,1896 - 2016
Heike Kemmer,Germany,2,0,1,3,1896 - 2016
LeBron James,United States,2,0,1,3,1896 - 2016
Monica Theodorescu,West Germany,3,0,0,3,1896 - 2016
Zhao Yunlei,People's Republic of China,2,0,1,3,1896 - 2016
Sergey Chukhray,Ukraine,3,0,0,3,1896 - 2016
Vladimir Parfenovich,Soviet Union,3,0,0,3,1896 - 2016
Vladimir Morozov,Ukraine,3,0,0,3,1896 - 2016
Lin Xintong,People's Republic of China,2,0,1,3,1896 - 2016
Hifumi Abe,Japan,2,0,1,3,1896 - 2016
Yang Haoran,People's Republic of China,2,0,1,3,1896 - 2016
Panipak Wongpattanakit,Thailand,2,0,1,3,1896 - 2016
Barbora Seemanová,Czech Republic,2,0,1,3,1896 - 2016
Tiberius Claudius Patrobius,Syria (Antocheia),3,0,0,3,1896 - 2016
Lisa Carrington,New Zealand,2,0,1,3,1896 - 2016
Kristina Vogel,Germany,2,0,1,3,1896 - 2016
Oh Jin-Hyeok,Republic of Korea,2,0,1,3,1896 - 2016
Zhang Nan,People's Republic of China,2,0,1,3,1896 - 2016
Timo Weß,Germany,2,0,1,3,1896 - 2016
Oliver Korn,Germany,2,0,1,3,1896 - 2016
Moritz Fürste,Germany,2,0,1,3,1896 - 2016
Tobias Hauke,Germany,2,0,1,3,1896 - 2016
Steven Burke,Great Britain,2,0,1,3,1896 - 2016
Teddy Riner,France,2,0,1,3,1896 - 2016
Linn-Kristin Riegelhuth Koren,Norway,2,0,1,3,1896 - 2016
Marit Malm Frafjord,Norway,2,0,1,3,1896 - 2016
Katrine Lunde-Haraldsen,Norway,2,0,1,3,1896 - 2016
Kari Aalvik Grimsbø,Norway,2,0,1,3,1896 - 2016
Eri Yamada,Japan,2,0,1,3,1896 - 2016
Yukiko Ueno,Japan,2,0,1,3,1896 - 2016
Christopher Zeller,Germany,2,0,1,3,1896 - 2016
Marco Fichera,Italy,2,1,0,3,1896 - 2016
Chen Aisen,People's Republic of China,2,1,0,3,1896 - 2016
Rozaliya Nasretdinova,Russian Federation,2,1,0,3,1896 - 2016
Liliana Gafencu,Romania,3,0,0,3,1896 - 2016
Rica Reinisch,East Germany,3,0,0,3,1896 - 2016
Barbara Krause,East Germany,3,0,0,3,1896 - 2016
Ollie Schriver,United States,3,0,0,3,1896 - 2016
Joe Jackson,United States,3,0,0,3,1896 - 2016
Karl Frederick,United States,3,0,0,3,1896 - 2016
"Jack Kelly, Sr.",United States,3,0,0,3,1896 - 2016
Paul Costello,United States,3,0,0,3,1896 - 2016
Vyacheslav Ivanov,Russian Federation,3,0,0,3,1896 - 2016
Agostino Abbagnale,Italy,3,0,0,3,1896 - 2016
Elaine Thompson,Jamaica,2,1,0,3,1896 - 2016
Siegfried Brietzke,East Germany,3,0,0,3,1896 - 2016
Pertti Karppinen,Finland,3,0,0,3,1896 - 2016
Tadahiro Nomura,Japan,3,0,0,3,1896 - 2016
Daniel Norling,Sweden,3,0,0,3,1896 - 2016
Sergey Kharkov,Russian Federation,3,0,0,3,1896 - 2016
Luigi Maiocco,Italy,3,0,0,3,1896 - 2016
Viktor Zhdanovich,Russian Federation,3,0,0,3,1896 - 2016
László Rajcsányi,Hungary,3,0,0,3,1896 - 2016
Ulrike Richter,East Germany,3,0,0,3,1896 - 2016
Olga Brusnikina,Russian Federation,3,0,0,3,1896 - 2016
Mariya Kiselyova,Russian Federation,3,0,0,3,1896 - 2016
Yevgeny Sadovy,Russian Federation,3,0,0,3,1896 - 2016
Regla Bell,Cuba,3,0,0,3,1896 - 2016
Norman Ross,United States,3,0,0,3,1896 - 2016
Rowdy Gaines,United States,3,0,0,3,1896 - 2016
Steve Clark,United States,3,0,0,3,1896 - 2016
Rick Carey,United States,3,0,0,3,1896 - 2016
Mike Burton,United States,3,0,0,3,1896 - 2016
Ashley Tappin,United States,3,0,0,3,1896 - 2016
Carrie Steinseifer,United States,3,0,0,3,1896 - 2016
Martha Norelius,United States,3,0,0,3,1896 - 2016
Sandy Neilson,United States,3,0,0,3,1896 - 2016
Debbie Meyer,United States,3,0,0,3,1896 - 2016
Helene Madison,United States,3,0,0,3,1896 - 2016
Nicole Haislett,United States,3,0,0,3,1896 - 2016
Tracy Caulkins,United States,3,0,0,3,1896 - 2016
Ethelda Bleibtrey,United States,3,0,0,3,1896 - 2016
Brooke Bennett,United States,3,0,0,3,1896 - 2016
